id,name,movie_id,title
2710.0,James Cameron,19995,Avatar
1704.0,Gore Verbinski,285,Pirates of the Caribbean: At World's End
39.0,Sam Mendes,206647,Spectre
525.0,Christopher Nolan,49026,The Dark Knight Rises
7.0,Andrew Stanton,49529,John Carter
7623.0,Sam Raimi,559,Spider-Man 3
76595.0,Byron Howard,38757,Tangled
12891.0,Joss Whedon,99861,Avengers: Age of Ultron
11343.0,David Yates,767,Harry Potter and the Half-Blood Prince
15217.0,Zack Snyder,209112,Batman v Superman: Dawn of Justice
9032.0,Bryan Singer,1452,Superman Returns
12995.0,Marc Forster,10764,Quantum of Solace
1704.0,Gore Verbinski,58,Pirates of the Caribbean: Dead Man's Chest
1704.0,Gore Verbinski,57201,The Lone Ranger
15217.0,Zack Snyder,49521,Man of Steel
5524.0,Andrew Adamson,2454,The Chronicles of Narnia: Prince Caspian
12891.0,Joss Whedon,24428,The Avengers
17633.0,Rob Marshall,1865,Pirates of the Caribbean: On Stranger Tides
5174.0,Barry Sonnenfeld,41154,Men in Black 3
108.0,Peter Jackson,122917,The Hobbit: The Battle of the Five Armies
87742.0,Marc Webb,1930,The Amazing Spider-Man
578.0,Ridley Scott,20662,Robin Hood
108.0,Peter Jackson,57158,The Hobbit: The Desolation of Smaug
3288.0,Chris Weitz,2268,The Golden Compass
108.0,Peter Jackson,254,King Kong
2710.0,James Cameron,597,Titanic
19271.0,Anthony Russo,271110,Captain America: Civil War
36602.0,Peter Berg,44833,Battleship
930707.0,Colin Trevorrow,135397,Jurassic World
39.0,Sam Mendes,37724,Skyfall
7623.0,Sam Raimi,558,Spider-Man 2
1108.0,Shane Black,68721,Iron Man 3
510.0,Tim Burton,12155,Alice in Wonderland
11091.0,Brett Ratner,36668,X-Men: The Last Stand
225976.0,Dan Scanlon,62211,Monsters University
865.0,Michael Bay,8373,Transformers: Revenge of the Fallen
865.0,Michael Bay,91314,Transformers: Age of Extinction
7623.0,Sam Raimi,68728,Oz: The Great and Powerful
87742.0,Marc Webb,102382,The Amazing Spider-Man 2
86270.0,Joseph Kosinski,20526,TRON: Legacy
7879.0,John Lasseter,49013,Cars 2
10702.0,Martin Campbell,44912,Green Lantern
8.0,Lee Unkrich,10193,Toy Story 3
36425.0,McG,534,Terminator Salvation
2127.0,James Wan,168259,Furious 7
12995.0,Marc Forster,72190,World War Z
9032.0,Bryan Singer,127585,X-Men: Days of Future Past
15344.0,J.J. Abrams,54138,Star Trek Into Darkness
9032.0,Bryan Singer,81005,Jack the Giant Slayer
6201.0,Baz Luhrmann,64682,The Great Gatsby
10723.0,Mike Newell,9543,Prince of Persia: The Sands of Time
10828.0,Guillermo del Toro,68726,Pacific Rim
865.0,Michael Bay,38356,Transformers: Dark of the Moon
488.0,Steven Spielberg,217,Indiana Jones and the Kingdom of the Crystal Skull
21198.0,Peter Sohn,105864,The Good Dinosaur
59803.0,Brenda Chapman,62177,Brave
58189.0,Justin Lin,188927,Star Trek Beyond
7.0,Andrew Stanton,10681,WALL·E
11091.0,Brett Ratner,5174,Rush Hour 3
6046.0,Roland Emmerich,14161,2012
24.0,Robert Zemeckis,17979,A Christmas Carol
9339.0,Lilly Wachowski,76757,Jupiter Ascending
11343.0,David Yates,258489,The Legend of Tarzan
5524.0,Andrew Adamson,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
9032.0,Bryan Singer,246655,X-Men: Apocalypse
525.0,Christopher Nolan,155,The Dark Knight
12890.0,Pete Docter,14160,Up
12080.0,Conrad Vernon,15512,Monsters vs Aliens
15277.0,Jon Favreau,1726,Iron Man
1032.0,Martin Scorsese,44826,Hugo
5174.0,Barry Sonnenfeld,8487,Wild Wild West
18878.0,Rob Cohen,1735,The Mummy: Tomb of the Dragon Emperor
19769.0,David Ayer,297761,Suicide Squad
4499.0,Tom Shadyac,2698,Evan Almighty
11694.0,Doug Liman,137113,Edge of Tomorrow
8300.0,Kevin Reynolds,9804,Waterworld
7775.0,Stephen Sommers,14869,G.I. Joe: The Rise of Cobra
12890.0,Pete Docter,150540,Inside Out
15277.0,Jon Favreau,278927,The Jungle Book
15277.0,Jon Favreau,10138,Iron Man 2
228134.0,Rupert Sanders,58595,Snow White and the Huntsman
1032536.0,Robert Stromberg,102651,Maleficent
32278.0,Matt Reeves,119450,Dawn of the Planet of the Apes
8965.0,Roland Joffé,79698,The Lovers
239571.0,Carl Rinsch,64686,47 Ronin
19271.0,Anthony Russo,100402,Captain America: The Winter Soldier
64151.0,Mike Mitchell,10192,Shrek Forever After
7087.0,Brad Bird,158852,Tomorrowland
70238.0,Chris Williams,177572,Big Hero 6
165787.0,Rich Moore,82690,Wreck-It Ralph
24.0,Robert Zemeckis,5255,The Polar Express
6046.0,Roland Emmerich,47933,Independence Day: Resurgence
66193.0,Chris Sanders,10191,How to Train Your Dragon
7213.0,Jonathan Mostow,296,Terminator 3: Rise of the Machines
15218.0,James Gunn,118340,Guardians of the Galaxy
525.0,Christopher Nolan,157336,Interstellar
525.0,Christopher Nolan,27205,Inception
77921.0,Hideaki Anno,315011,Shin Godzilla
108.0,Peter Jackson,49051,The Hobbit: An Unexpected Journey
18878.0,Rob Cohen,9799,The Fast and the Furious
7467.0,David Fincher,4922,The Curious Case of Benjamin Button
957.0,Matthew Vaughn,49538,X-Men: First Class
10943.0,Francis Lawrence,131634,The Hunger Games: Mockingjay - Part 2
12962.0,Jon Turteltaub,27022,The Sorcerer's Apprentice
5231.0,Wolfgang Petersen,503,Poseidon
26205.0,James Bobin,241259,Alice Through the Looking Glass
12098.0,Chris Miller,810,Shrek the Third
81850.0,Duncan Jones,68735,Warcraft
47005.0,Alan Taylor,87101,Terminator Genisys
10781.0,Michael Apted,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader
865.0,Michael Bay,676,Pearl Harbor
865.0,Michael Bay,1858,Transformers
1152.0,Oliver Stone,1966,Alexander
11343.0,David Yates,675,Harry Potter and the Order of the Phoenix
10723.0,Mike Newell,674,Harry Potter and the Goblet of Fire
36602.0,Peter Berg,8960,Hancock
