id,name,movie_id,title,keyword
1463.0,culture clash,19995,Avatar,0
2964.0,future,19995,Avatar,1
3386.0,space war,19995,Avatar,2
3388.0,space colony,19995,Avatar,3
3679.0,society,19995,Avatar,4
270.0,ocean,285,Pirates of the Caribbean: At World's End,0
726.0,drug abuse,285,Pirates of the Caribbean: At World's End,1
911.0,exotic island,285,Pirates of the Caribbean: At World's End,2
1319.0,east india trading company,285,Pirates of the Caribbean: At World's End,3
2038.0,love of one's life,285,Pirates of the Caribbean: At World's End,4
470.0,spy,206647,Spectre,0
818.0,based on novel,206647,Spectre,1
4289.0,secret agent,206647,Spectre,2
9663.0,sequel,206647,Spectre,3
14555.0,mi6,206647,Spectre,4
849.0,dc comics,49026,The Dark Knight Rises,0
853.0,crime fighter,49026,The Dark Knight Rises,1
949.0,terrorist,49026,The Dark Knight Rises,2
1308.0,secret identity,49026,The Dark Knight Rises,3
1437.0,burglar,49026,The Dark Knight Rises,4
818.0,based on novel,49529,John Carter,0
839.0,mars,49529,John Carter,1
1456.0,medallion,49529,John Carter,2
3801.0,space travel,49529,John Carter,3
7376.0,princess,49529,John Carter,4
851.0,dual identity,559,Spider-Man 3,0
1453.0,amnesia,559,Spider-Man 3,1
1965.0,sandstorm,559,Spider-Man 3,2
2038.0,love of one's life,559,Spider-Man 3,3
3446.0,forgiveness,559,Spider-Man 3,4
1562.0,hostage,38757,Tangled,0
2343.0,magic,38757,Tangled,1
2673.0,horse,38757,Tangled,2
3205.0,fairy tale,38757,Tangled,3
4344.0,musical,38757,Tangled,4
8828.0,marvel comic,99861,Avengers: Age of Ultron,0
9663.0,sequel,99861,Avengers: Age of Ultron,1
9715.0,superhero,99861,Avengers: Age of Ultron,2
9717.0,based on comic book,99861,Avengers: Age of Ultron,3
10629.0,vision,99861,Avengers: Age of Ultron,4
616.0,witch,767,Harry Potter and the Half-Blood Prince,0
2343.0,magic,767,Harry Potter and the Half-Blood Prince,1
3872.0,broom,767,Harry Potter and the Half-Blood Prince,2
3884.0,school of witchcraft,767,Harry Potter and the Half-Blood Prince,3
6333.0,wizardry,767,Harry Potter and the Half-Blood Prince,4
849.0,dc comics,209112,Batman v Superman: Dawn of Justice,0
7002.0,vigilante,209112,Batman v Superman: Dawn of Justice,1
9715.0,superhero,209112,Batman v Superman: Dawn of Justice,2
9717.0,based on comic book,209112,Batman v Superman: Dawn of Justice,3
9748.0,revenge,209112,Batman v Superman: Dawn of Justice,4
83.0,saving the world,1452,Superman Returns,0
849.0,dc comics,1452,Superman Returns,1
8872.0,invulnerability,1452,Superman Returns,2
9663.0,sequel,1452,Superman Returns,3
9715.0,superhero,1452,Superman Returns,4
627.0,killing,10764,Quantum of Solace,0
1568.0,undercover,10764,Quantum of Solace,1
4289.0,secret agent,10764,Quantum of Solace,2
156095.0,british secret service,10764,Quantum of Solace,3
616.0,witch,58,Pirates of the Caribbean: Dead Man's Chest,0
663.0,fortune teller,58,Pirates of the Caribbean: Dead Man's Chest,1
910.0,bondage,58,Pirates of the Caribbean: Dead Man's Chest,2
